Year Published,Retractions
1753,1
1926,1
1940,1
1942,1
1951,1
1955,1
1959,1
1962,1
1963,1
1965,1
1966,1
1967,3
1968,1
1970,6
1971,1
1973,2
1974,1
1975,7
1976,3
1977,24
1978,8
1979,17
1980,12
1981,18
1982,6
1983,15
1984,17
1985,14
1986,26
1987,18
1988,22
1989,39
1990,63
1991,48
1992,44
1993,47
1994,53
1995,72
1996,85
1997,90
1998,118
1999,141
2000,182
2001,244
2002,305
2003,331
2004,421
2005,509
2006,605
2007,814
2008,815
2009,1653
2010,5315
2011,5268
2012,1406
2013,1573
2014,1712
2015,2574
2016,2210
2017,2118
2018,2879
2019,2705
2020,3349
2021,4583
2022,4913
2023,266
2024,5
